program,source_page,source_sha256,source_recovery,translation,numeric_qa,korean_review,visual_qa,target_pages,reviewer,notes
dynasty,45,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,46,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,47,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,48,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,49,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,50,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,51,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,52,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,53,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,54,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,55,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,56,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,57,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,58,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,59,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,60,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,61,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,62,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,63,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,64,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,65,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,66,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,67,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,68,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,69,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
dynasty,70,382273d01e11eee2658577480a11b9f281aaf939d7f5ead5d029c935818470d5,needs_review,not_started,not_started,not_started,not_started,,,
